proc rank,px,py,nx,ny,time,comm. time,omega 
2,3,3,800,800,10135387000000000000.000000,7368043000000000000.000000,1.950000
2,3,3,800,800,9080220999999998976.000000,6257000000000000000.000000,1.950000
2,3,3,800,800,8939096999999998976.000000,6256919000000000000.000000,1.950000
2,3,3,800,800,8323775999999998976.000000,5709625000000000000.000000,1.950000
2,3,3,800,800,8253622999999998976.000000,5560351000000000000.000000,1.950000
2,3,3,800,800,8472891999999998976.000000,5830044000000000000.000000,1.950000
2,3,3,800,800,8396143999999998976.000000,5868951000000000000.000000,1.950000
2,3,3,800,800,8154340000000000000.000000,5532952000000000000.000000,1.950000
2,3,3,800,800,8403695999999998976.000000,5838594000000000000.000000,1.950000
2,3,3,800,800,8766403999999998976.000000,5965848000000000000.000000,1.950000
2,3,3,800,800,8264544999999998976.000000,5530636000000000000.000000,1.950000
2,3,3,800,800,8052954000000000000.000000,5471533000000000000.000000,1.950000
2,3,3,800,800,8602259999999998976.000000,5935944000000000000.000000,1.950000
2,3,3,800,800,8334674999999998976.000000,5675874000000000000.000000,1.950000
2,3,3,800,800,8003721000000000000.000000,5285661000000000000.000000,1.950000
2,3,3,800,800,8178906000000000000.000000,5579210000000000000.000000,1.950000
2,3,3,800,800,8303401999999998976.000000,5742144000000000000.000000,1.950000
2,3,3,800,800,8332143999999998976.000000,5690230000000000000.000000,1.950000
2,3,3,800,800,8564330999999998976.000000,5896554000000000000.000000,1.950000
2,3,3,800,800,8299493999999998976.000000,5642681000000000000.000000,1.950000
2,3,3,800,800,7979246000000000000.000000,5270729000000000000.000000,1.950000
2,3,3,800,800,8135501000000000000.000000,5443773000000000000.000000,1.950000
2,3,3,800,800,8085164000000000000.000000,5530367000000000000.000000,1.950000
2,3,3,800,800,8020154000000000000.000000,5332779000000000000.000000,1.950000
2,3,3,800,800,8330694999999998976.000000,5747024000000000000.000000,1.950000
2,3,3,800,800,8342240999999998976.000000,5748167000000000000.000000,1.950000
2,3,3,800,800,8358761999999998976.000000,5553347000000000000.000000,1.950000
2,3,3,800,800,10355123000000000000.000000,7348857000000000000.000000,1.950000
2,3,3,800,800,8972771999999998976.000000,6344473000000000000.000000,1.950000
3,3,3,800,800,8593838999999998976.000000,5874164000000000000.000000,1.950000
3,3,3,800,800,10134767000000000000.000000,7343171000000000000.000000,1.950000
3,3,3,800,800,9079578999999998976.000000,6487864000000000000.000000,1.950000
3,3,3,800,800,8938346999999998976.000000,6290104000000000000.000000,1.950000
3,3,3,800,800,8323774999999998976.000000,5649178000000000000.000000,1.950000
3,3,3,800,800,8253593999999998976.000000,5649629000000000000.000000,1.950000
3,3,3,800,800,8472873999999998976.000000,5821024000000000000.000000,1.950000
3,3,3,800,800,8396531999999998976.000000,5734855000000000000.000000,1.950000
3,3,3,800,800,8154706000000000000.000000,5618047000000000000.000000,1.950000
3,3,3,800,800,8403911999999998976.000000,5757900000000000000.000000,1.950000
3,3,3,800,800,8765955999999998976.000000,6014152000000000000.000000,1.950000
3,3,3,800,800,8264546999999998976.000000,5671514000000000000.000000,1.950000
3,3,3,800,800,8053592000000000000.000000,5418176000000000000.000000,1.950000
3,3,3,800,800,8602532999999998976.000000,5888646000000000000.000000,1.950000
3,3,3,800,800,8334070999999998976.000000,5761611000000000000.000000,1.950000
3,3,3,800,800,8004301000000000000.000000,5395663000000000000.000000,1.950000
3,3,3,800,800,8179226000000000000.000000,5562924000000000000.000000,1.950000
3,3,3,800,800,8303295999999998976.000000,5743772000000000000.000000,1.950000
3,3,3,800,800,8332146999999998976.000000,5866714000000000000.000000,1.950000
3,3,3,800,800,8563654999999998976.000000,5999033000000000000.000000,1.950000
3,3,3,800,800,8299599999999998976.000000,5801216000000000000.000000,1.950000
3,3,3,800,800,7979245000000000000.000000,5436398000000000000.000000,1.950000
3,3,3,800,800,8135496000000000000.000000,5541812000000000000.000000,1.950000
3,3,3,800,800,8085160000000000000.000000,5538941000000000000.000000,1.950000
3,3,3,800,800,8020165000000000000.000000,5452960000000000000.000000,1.950000
3,3,3,800,800,8330690999999998976.000000,5704311000000000000.000000,1.950000
3,3,3,800,800,8342250999999998976.000000,5584050000000000000.000000,1.950000
3,3,3,800,800,8356791999999998976.000000,5718058000000000000.000000,1.950000
