proc rank,px,py,nx,ny,time,comm. time,omega 
0,3,3,100,100,17515999999999998.000000,15052000000000000.000000,1.950000
0,3,3,100,100,17087999999999998.000000,13098000000000000.000000,1.950000
0,3,3,100,100,16909999999999998.000000,13403000000000000.000000,1.950000
0,3,3,100,100,22629000000000000.000000,20787000000000000.000000,1.950000
0,3,3,100,100,18434000000000000.000000,11892000000000000.000000,1.950000
0,3,3,100,100,19356000000000000.000000,17510999999999998.000000,1.950000
0,3,3,100,100,19851000000000000.000000,18015000000000000.000000,1.950000
0,3,3,100,100,21942000000000000.000000,19565000000000000.000000,1.950000
0,3,3,100,100,19552000000000000.000000,16506999999999998.000000,1.950000
0,3,3,100,100,22681000000000000.000000,20030000000000000.000000,1.950000
0,3,3,100,100,17845999999999998.000000,15204000000000000.000000,1.950000
0,3,3,100,100,22800000000000000.000000,20646000000000000.000000,1.950000
0,3,3,100,100,12144000000000000.000000,6818000000000000.000000,1.950000
0,3,3,100,100,18286000000000000.000000,15142000000000000.000000,1.950000
0,3,3,100,100,17094999999999998.000000,15048000000000000.000000,1.950000
0,3,3,100,100,12045000000000000.000000,9604000000000000.000000,1.950000
0,3,3,100,100,22484000000000000.000000,20644000000000000.000000,1.950000
0,3,3,100,100,16183999999999998.000000,13863000000000000.000000,1.950000
0,3,3,100,100,19179000000000000.000000,16948999999999998.000000,1.950000
0,3,3,100,100,23823000000000000.000000,21962000000000000.000000,1.950000
0,3,3,100,100,19494000000000000.000000,15339000000000000.000000,1.950000
0,3,3,100,100,18258000000000000.000000,16428999999999998.000000,1.950000
0,3,3,100,100,18638000000000000.000000,15053000000000000.000000,1.950000
0,3,3,100,100,15875000000000000.000000,9584000000000000.000000,1.950000
0,3,3,100,100,17948999999999998.000000,13009000000000000.000000,1.950000
0,3,3,100,100,11688000000000000.000000,9851000000000000.000000,1.950000
0,3,3,100,100,12370000000000000.000000,10524000000000000.000000,1.950000
0,3,3,100,100,23525000000000000.000000,21553000000000000.000000,1.950000
0,3,3,100,100,22789000000000000.000000,20969000000000000.000000,1.950000
0,3,3,100,100,13517000000000000.000000,10702000000000000.000000,1.950000
1,3,3,100,100,17511999999999998.000000,15239000000000000.000000,1.950000
1,3,3,100,100,16905999999999998.000000,13729000000000000.000000,1.950000
1,3,3,100,100,16898999999999998.000000,14915000000000000.000000,1.950000
