proc rank,px,py,nx,ny,time,comm. time,omega 
1,2,2,800,800,4595694999999999488.000000,167255000000000000.000000,1.950000
1,2,2,800,800,4640250000000000000.000000,205134000000000000.000000,1.950000
1,2,2,800,800,4585961999999999488.000000,165954000000000000.000000,1.950000
1,2,2,800,800,4716084000000000000.000000,244337000000000000.000000,1.950000
1,2,2,800,800,4599330999999999488.000000,163891000000000000.000000,1.950000
1,2,2,800,800,4645164000000000000.000000,190756000000000000.000000,1.950000
1,2,2,800,800,4701676000000000000.000000,213339000000000000.000000,1.950000
1,2,2,800,800,4696306000000000000.000000,206783000000000000.000000,1.950000
1,2,2,800,800,4685931000000000000.000000,202445000000000000.000000,1.950000
1,2,2,800,800,4654646000000000000.000000,186690000000000000.000000,1.950000
1,2,2,800,800,4616681000000000000.000000,168981000000000000.000000,1.950000
1,2,2,800,800,4636636000000000000.000000,183236000000000000.000000,1.950000
1,2,2,800,800,4616940000000000000.000000,167170000000000000.000000,1.950000
1,2,2,800,800,4637041000000000000.000000,179217000000000000.000000,1.950000
1,2,2,800,800,4592434999999999488.000000,156823000000000000.000000,1.950000
1,2,2,800,800,4648601000000000000.000000,191678000000000000.000000,1.950000
1,2,2,800,800,4583308999999999488.000000,149152000000000000.000000,1.950000
1,2,2,800,800,4602141999999999488.000000,164370000000000000.000000,1.950000
1,2,2,800,800,4602727999999999488.000000,151635000000000000.000000,1.950000
1,2,2,800,800,4645643000000000000.000000,185176000000000000.000000,1.950000
1,2,2,800,800,4820814000000000000.000000,306863000000000000.000000,1.950000
1,2,2,800,800,4691843000000000000.000000,238257000000000000.000000,1.950000
1,2,2,800,800,4600759999999999488.000000,161841000000000000.000000,1.950000
1,2,2,800,800,4604798999999999488.000000,155448000000000000.000000,1.950000
1,2,2,800,800,4591367999999999488.000000,154343000000000000.000000,1.950000
1,2,2,800,800,4618550000000000000.000000,177743000000000000.000000,1.950000
1,2,2,800,800,4675734000000000000.000000,205419000000000000.000000,1.950000
1,2,2,800,800,4607778999999999488.000000,165824000000000000.000000,1.950000
1,2,2,800,800,4626131000000000000.000000,173110000000000000.000000,1.950000
1,2,2,800,800,4594160999999999488.000000,150912000000000000.000000,1.950000
