proc rank,px,py,nx,ny,time,comm. time,omega 
2,2,2,800,800,4595808999999999488.000000,178734000000000000.000000,1.950000
2,2,2,800,800,4640247000000000000.000000,223477000000000000.000000,1.950000
2,2,2,800,800,4585952999999999488.000000,177920000000000000.000000,1.950000
2,2,2,800,800,4716111000000000000.000000,242876000000000000.000000,1.950000
2,2,2,800,800,4599329999999999488.000000,179036000000000000.000000,1.950000
2,2,2,800,800,4645164000000000000.000000,211627000000000000.000000,1.950000
2,2,2,800,800,4701648000000000000.000000,261270999999999968.000000,1.950000
2,2,2,800,800,4695577000000000000.000000,241286000000000000.000000,1.950000
2,2,2,800,800,4685823000000000000.000000,232067000000000000.000000,1.950000
2,2,2,800,800,4654643000000000000.000000,206585000000000000.000000,1.950000
2,2,2,800,800,4616734000000000000.000000,205473000000000000.000000,1.950000
2,2,2,800,800,4636606000000000000.000000,198349000000000000.000000,1.950000
2,2,2,800,800,4616890000000000000.000000,189721000000000000.000000,1.950000
2,2,2,800,800,4636984000000000000.000000,204114000000000000.000000,1.950000
2,2,2,800,800,4592377999999999488.000000,168798000000000000.000000,1.950000
2,2,2,800,800,4648503000000000000.000000,220338000000000000.000000,1.950000
2,2,2,800,800,4583329999999999488.000000,184735000000000000.000000,1.950000
2,2,2,800,800,4602135999999999488.000000,198573000000000000.000000,1.950000
2,2,2,800,800,4602921999999999488.000000,199202000000000000.000000,1.950000
2,2,2,800,800,4645694000000000000.000000,214429000000000000.000000,1.950000
2,2,2,800,800,4820783000000000000.000000,289324000000000000.000000,1.950000
2,2,2,800,800,4691450000000000000.000000,248791000000000000.000000,1.950000
2,2,2,800,800,4600762999999999488.000000,196227000000000000.000000,1.950000
2,2,2,800,800,4604797999999999488.000000,196120000000000000.000000,1.950000
2,2,2,800,800,4591364999999999488.000000,175036000000000000.000000,1.950000
2,2,2,800,800,4618548000000000000.000000,203372000000000000.000000,1.950000
2,2,2,800,800,4675746000000000000.000000,245549000000000000.000000,1.950000
2,2,2,800,800,4607796999999999488.000000,176578000000000000.000000,1.950000
2,2,2,800,800,4626131000000000000.000000,203399000000000000.000000,1.950000
2,2,2,800,800,4594158999999999488.000000,186715000000000000.000000,1.950000
