proc rank,px,py,nx,ny,time,comm. time,omega 
0,2,2,800,800,4595848999999999488.000000,124685000000000000.000000,1.950000
0,2,2,800,800,4640252000000000000.000000,156106000000000000.000000,1.950000
0,2,2,800,800,4585970999999999488.000000,126148000000000000.000000,1.950000
0,2,2,800,800,4716137000000000000.000000,195736000000000000.000000,1.950000
0,2,2,800,800,4599336999999999488.000000,130445999999999984.000000,1.950000
0,2,2,800,800,4645184000000000000.000000,149862000000000000.000000,1.950000
0,2,2,800,800,4701696000000000000.000000,177924000000000000.000000,1.950000
0,2,2,800,800,4696394000000000000.000000,173593000000000000.000000,1.950000
0,2,2,800,800,4685940000000000000.000000,157287000000000000.000000,1.950000
0,2,2,800,800,4654693000000000000.000000,149479000000000000.000000,1.950000
0,2,2,800,800,4616785000000000000.000000,130425999999999984.000000,1.950000
0,2,2,800,800,4636633000000000000.000000,143421999999999984.000000,1.950000
0,2,2,800,800,4616980000000000000.000000,130140999999999984.000000,1.950000
0,2,2,800,800,4637053000000000000.000000,135743999999999984.000000,1.950000
0,2,2,800,800,4592460999999999488.000000,115923000000000000.000000,1.950000
0,2,2,800,800,4648692000000000000.000000,150293000000000000.000000,1.950000
0,2,2,800,800,4583346999999999488.000000,111360000000000000.000000,1.950000
0,2,2,800,800,4602192999999999488.000000,121118000000000000.000000,1.950000
0,2,2,800,800,4602930999999999488.000000,128124000000000000.000000,1.950000
0,2,2,800,800,4645742000000000000.000000,149684000000000000.000000,1.950000
0,2,2,800,800,4820841000000000000.000000,275538999999999968.000000,1.950000
0,2,2,800,800,4691859000000000000.000000,176478000000000000.000000,1.950000
0,2,2,800,800,4600774999999999488.000000,123470000000000000.000000,1.950000
0,2,2,800,800,4604830999999999488.000000,123167000000000000.000000,1.950000
0,2,2,800,800,4591379999999999488.000000,116833000000000000.000000,1.950000
0,2,2,800,800,4618562000000000000.000000,128748999999999984.000000,1.950000
0,2,2,800,800,4675760000000000000.000000,181073000000000000.000000,1.950000
0,2,2,800,800,4607845999999999488.000000,125670000000000000.000000,1.950000
0,2,2,800,800,4626154000000000000.000000,137346999999999984.000000,1.950000
0,2,2,800,800,4594170999999999488.000000,122752000000000000.000000,1.950000
1,2,2,800,800,4595694999999999488.000000,167255000000000000.000000,1.950000
1,2,2,800,800,4640250000000000000.000000,205134000000000000.000000,1.950000
1,2,2,800,800,4585961999999999488.000000,165954000000000000.000000,1.950000
1,2,2,800,800,4716084000000000000.000000,244337000000000000.000000,1.950000
1,2,2,800,800,4599330999999999488.000000,163891000000000000.000000,1.950000
1,2,2,800,800,4645164000000000000.000000,190756000000000000.000000,1.950000
1,2,2,800,800,4701676000000000000.000000,213339000000000000.000000,1.950000
1,2,2,800,800,4696306000000000000.000000,206783000000000000.000000,1.950000
1,2,2,800,800,4685931000000000000.000000,202445000000000000.000000,1.950000
1,2,2,800,800,4654646000000000000.000000,186690000000000000.000000,1.950000
1,2,2,800,800,4616681000000000000.000000,168981000000000000.000000,1.950000
1,2,2,800,800,4636636000000000000.000000,183236000000000000.000000,1.950000
1,2,2,800,800,4616940000000000000.000000,167170000000000000.000000,1.950000
1,2,2,800,800,4637041000000000000.000000,179217000000000000.000000,1.950000
1,2,2,800,800,4592434999999999488.000000,156823000000000000.000000,1.950000
1,2,2,800,800,4648601000000000000.000000,191678000000000000.000000,1.950000
1,2,2,800,800,4583308999999999488.000000,149152000000000000.000000,1.950000
1,2,2,800,800,4602141999999999488.000000,164370000000000000.000000,1.950000
1,2,2,800,800,4602727999999999488.000000,151635000000000000.000000,1.950000
1,2,2,800,800,4645643000000000000.000000,185176000000000000.000000,1.950000
1,2,2,800,800,4820814000000000000.000000,306863000000000000.000000,1.950000
1,2,2,800,800,4691843000000000000.000000,238257000000000000.000000,1.950000
1,2,2,800,800,4600759999999999488.000000,161841000000000000.000000,1.950000
1,2,2,800,800,4604798999999999488.000000,155448000000000000.000000,1.950000
1,2,2,800,800,4591367999999999488.000000,154343000000000000.000000,1.950000
1,2,2,800,800,4618550000000000000.000000,177743000000000000.000000,1.950000
1,2,2,800,800,4675734000000000000.000000,205419000000000000.000000,1.950000
1,2,2,800,800,4607778999999999488.000000,165824000000000000.000000,1.950000
1,2,2,800,800,4626131000000000000.000000,173110000000000000.000000,1.950000
1,2,2,800,800,4594160999999999488.000000,150912000000000000.000000,1.950000
2,2,2,800,800,4595808999999999488.000000,178734000000000000.000000,1.950000
2,2,2,800,800,4640247000000000000.000000,223477000000000000.000000,1.950000
2,2,2,800,800,4585952999999999488.000000,177920000000000000.000000,1.950000
2,2,2,800,800,4716111000000000000.000000,242876000000000000.000000,1.950000
2,2,2,800,800,4599329999999999488.000000,179036000000000000.000000,1.950000
2,2,2,800,800,4645164000000000000.000000,211627000000000000.000000,1.950000
2,2,2,800,800,4701648000000000000.000000,261270999999999968.000000,1.950000
2,2,2,800,800,4695577000000000000.000000,241286000000000000.000000,1.950000
2,2,2,800,800,4685823000000000000.000000,232067000000000000.000000,1.950000
2,2,2,800,800,4654643000000000000.000000,206585000000000000.000000,1.950000
2,2,2,800,800,4616734000000000000.000000,205473000000000000.000000,1.950000
2,2,2,800,800,4636606000000000000.000000,198349000000000000.000000,1.950000
2,2,2,800,800,4616890000000000000.000000,189721000000000000.000000,1.950000
2,2,2,800,800,4636984000000000000.000000,204114000000000000.000000,1.950000
2,2,2,800,800,4592377999999999488.000000,168798000000000000.000000,1.950000
2,2,2,800,800,4648503000000000000.000000,220338000000000000.000000,1.950000
2,2,2,800,800,4583329999999999488.000000,184735000000000000.000000,1.950000
2,2,2,800,800,4602135999999999488.000000,198573000000000000.000000,1.950000
2,2,2,800,800,4602921999999999488.000000,199202000000000000.000000,1.950000
2,2,2,800,800,4645694000000000000.000000,214429000000000000.000000,1.950000
2,2,2,800,800,4820783000000000000.000000,289324000000000000.000000,1.950000
2,2,2,800,800,4691450000000000000.000000,248791000000000000.000000,1.950000
2,2,2,800,800,4600762999999999488.000000,196227000000000000.000000,1.950000
2,2,2,800,800,4604797999999999488.000000,196120000000000000.000000,1.950000
2,2,2,800,800,4591364999999999488.000000,175036000000000000.000000,1.950000
2,2,2,800,800,4618548000000000000.000000,203372000000000000.000000,1.950000
2,2,2,800,800,4675746000000000000.000000,245549000000000000.000000,1.950000
2,2,2,800,800,4607796999999999488.000000,176578000000000000.000000,1.950000
2,2,2,800,800,4626131000000000000.000000,203399000000000000.000000,1.950000
2,2,2,800,800,4594158999999999488.000000,186715000000000000.000000,1.950000
3,2,2,800,800,4595694999999999488.000000,188634000000000000.000000,1.950000
3,2,2,800,800,4640245000000000000.000000,207360000000000000.000000,1.950000
3,2,2,800,800,4585962999999999488.000000,183620000000000000.000000,1.950000
3,2,2,800,800,4716084000000000000.000000,278336999999999968.000000,1.950000
3,2,2,800,800,4599329999999999488.000000,182306000000000000.000000,1.950000
3,2,2,800,800,4645163000000000000.000000,215344000000000000.000000,1.950000
